agent_budget,cost_usd,created_at,cumulative_cost_usd,effective_boldness,evolution_kind,genotype_lines,goal_id,goal_label,gradient_chars,has_gradient,iteration,n_parents,novelty_score,overall_score,overall_score_uncapped,parent_score,parent_uuids,qd_descriptor,qd_score,scope_band,stagnation,success_rate,uuid,wall_time_s
,1.348759588,2026-06-13T17:54:12,1.348759588,,seed,149,09902ec3,clintox,821,True,0,0,1.0,0.6891,0.6891,,,"[0.08825396825396814, -0.48317460317460326, 0.5168253968253967, -0.08317460317460323, -0.03873015873015884, 0.0]",0.7668250000000001,,,,20260613_165929_4a2182de,3809.771
,1.0623803064000001,2026-06-13T18:16:27,2.4111398944,,seed,99,09902ec3,clintox,799,True,1,0,1.0059185836969904,0.7216,0.7216,,,"[-0.025000000000000022, 0.35, 0.016666666666666607, -0.3166666666666667, -0.025000000000000022, 0.0]",0.7912,,,,20260613_180259_126f2d0b,1278.494
,0.710521696,2026-06-13T18:54:37,3.1216615904000005,,crossover,187,09902ec3,clintox,932,True,2,2,0.8014898121178495,0.1584,0.1584,,20260613_165929_4a2182de;20260613_180259_126f2d0b,"[0.03428571428571427, -0.10857142857142858, -0.10857142857142858, 0.2914285714285714, -0.10857142857142858, 0.0]",0.3179935095711682,,,,20260613_182418_8904a856,1841.059
,0.8052504848,2026-06-13T19:46:26,3.9269120752000006,,crossover,206,09902ec3,clintox,1101,True,3,2,0.5824250773980583,0.5349,0.5349,,20260613_182418_8904a856;20260613_180259_126f2d0b,"[0.1676190476190476, -0.4038095238095238, 0.3104761904761905, -0.0038095238095237627, -0.07047619047619047, 0.0]",0.5602834594604208,,,,20260613_185459_e28cc181,3117.533
,0.26030033519999995,2026-06-13T20:00:43,4.187212410400001,,crossover,233,09902ec3,clintox,833,True,4,2,0.4809638316181105,0.5705,0.5705,,20260613_165929_4a2182de;20260613_185459_e28cc181,"[0.13904761904761903, -0.43238095238095237, 0.42476190476190473, -0.032380952380952344, -0.09904761904761905, 0.0]",0.5627619663107126,,,,20260613_194656_deae850d,846.226
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_200105_0868f0c3,
5,0.3255560792,2026-06-13T20:16:47,4.512768489600001,0.6352788247168063,crossover,239,09902ec3,clintox,676,True,6,2,0.3847710652944884,0.5705,0.5705,0.5349,20260613_182418_8904a856;20260613_194656_deae850d,"[0.13904761904761903, -0.43238095238095237, 0.42476190476190473, -0.032380952380952344, -0.09904761904761905, 0.0]",0.5342049560438464,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.6930314451456068,0.25,20260613_200247_0ad6d32c,869.29
7,0.37260712799999995,2026-06-13T20:37:31,4.885375617600001,0.7512767910957335,mutation,271,09902ec3,clintox,1148,True,7,1,0.4215244156229063,0.5635,0.5635,0.5705,20260613_200247_0ad6d32c,"[0.12761904761904758, -0.4438095238095238, 0.2704761904761905, 0.15619047619047616, -0.1104761904761905, 0.0]",0.5380974038910217,"EXPLORATION (Macro Structural Mutation):
- Objective: Break out of a severe local minimum or chronic structural failure.
- Scope: Mutate the graph topology. Add a new specialized agent, merge two redundant agents, or change the routing logic.
- Invariance: Keep the fundamental task goal, but completely change the operational workflow.
- Strategy: Restructure the cognitive pipeline. Introduce parallel processing, voting consensus, or multi-step validation loops.",0.7512767910957335,0.2,20260613_201716_f1f2ffa6,1240.691
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_203757_f5037217,
7,0.2158542584,2026-06-13T20:51:01,5.101229876000001,1.0,crossover,304,09902ec3,clintox,1082,True,9,2,0.8944092687619207,0.5705,0.5705,0.5635,20260613_200247_0ad6d32c;20260613_194656_deae850d,"[-0.32952380952380955, 0.38476190476190475, 0.24190476190476184, -0.015238095238095273, -0.28190476190476194, 0.0]",0.670171351143927,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7731565237045287,0.0,20260613_204431_50814a84,418.147
