Title,URLS,Prompt,Challenge,TaskID,Difficulty,Skills,Tools
[q_haffner] Random forest identification of differential fecal metabolite features across industrialization gradient,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_haffner/_input_package/haffner.pdf,"[ASB Metabolomics — challenge: q_haffner, task: task_001]
TITLE: Random forest identification of differential fecal metabolite features across industrialization gradient

RESEARCH QUESTION: Which metabolite features are most differential across industrialization levels when applying a variable importance threshold to random forest classification results?

OBJECTIVE: Apply variable importance filtering (>1.3) to random forest output on 1,000 abundant metabolite features to identify 377 differential features and annotate compound identities.

DOMAIN KNOWLEDGE:
- Random forest out-of-bag (OOB) error plateaus when the number of trees becomes sufficient (typically 200 trees for metabolomic feature sets); increasing trees beyond this point yields no improvement in variable importance stability.
- Variable importance threshold of >1.3 (as applied in this study) represents a statistical cutoff specific to the authors' feature count and sample size; this cutoff is not universal and must be justified by the data distribution.
- SIRIUS and CANOPUS operate on high-resolution MS/MS spectra to infer molecular fragmentation patterns and predict compound classes; they require m/z values and fragment ion spectra as input.
- Random forest importance scores are calculated from decrease in mean squared error or Gini impurity; features with higher importance distinguish metabolite profiles across industrialization groups more reliably. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: principal-coordinate analysis (PCoA), random forest, SIRIUS, ClassyFire, CANOPUS, R

SKILLS NEEDED: metabolite-feature-importance-ranking, random-forest-classification-tuning, variable-importance-threshold-filtering, mass-spectrometry-compound-annotation, chemical-class-prediction-from-ms-data, machine-learning-hyperparameter-selection

EXPECTED OUTPUTS:
- List of 377 differential metabolite features with variable importance scores >1.3, ranked by importance
- Class-level compound annotations (via SIRIUS/CANOPUS/ClassyFire) for the 377 differential features

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_haffner,task_001,type-checked,metabolite-feature-importance-ranking; random-forest-classification-tuning; variable-importance-threshold-filtering; mass-spectrometry-compound-annotation; chemical-class-prediction-from-ms-data,principal-coordinate analysis (PCoA); random forest; SIRIUS; ClassyFire; CANOPUS
[q_haffner] Filter: feature abundance threshold (3× blank) applied to LC-MS/MS metabolite features,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_haffner/_input_package/haffner.pdf,"[ASB Metabolomics — challenge: q_haffner, task: task_002]
TITLE: Filter: feature abundance threshold (3× blank) applied to LC-MS/MS metabolite features

RESEARCH QUESTION: What filtering threshold effectively removes background contamination from metabolomic feature tables while retaining true biological signals?

OBJECTIVE: Apply a 3-fold abundance threshold relative to extraction blanks to filter the raw metabolomic feature table and eliminate contaminant signals.

DOMAIN KNOWLEDGE:
- Blank controls must be analyzed identically to samples during LC-MS/MS to capture method-derived contamination and background signals from solvents, tubes, and reagents.
- A 3-fold signal threshold filters features detected only in blanks or at very low abundance relative to blanks, minimizing false metabolite calls while retaining true sample-specific signals.
- Feature abundance in LC-MS/MS is measured as peak intensity (TIC-normalized); blank samples should contain minimal endogenous metabolites and serve as a baseline for each method batch.
- Gap-filling (MZmine interpolation of missing values) must be applied consistently after blank filtering to preserve feature presence/absence patterns needed for downstream multivariate analysis.

REQUIRED TOOLS/LIBRARIES: principal-coordinate analysis (PCoA), MZmine v2.33

SKILLS NEEDED: metabolite-feature-abundance-filtering, blank-control-subtraction-and-thresholding, mass-spectrometry-feature-quality-control, signal-to-noise-ratio-assessment

EXPECTED OUTPUTS:
- Blank-filtered feature table containing only metabolite features with abundance ≥3× blank control signal

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_haffner,task_002,type-checked,metabolite-feature-abundance-filtering; blank-control-subtraction-and-thresholding; mass-spectrometry-feature-quality-control; signal-to-noise-ratio-assessment,principal-coordinate analysis (PCoA); MZmine v2.33
"[q_haffner] Filter: minimum-peaks-in-a-row filtering at three thresholds (6, 45, 90) on metabolite feature table",/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_haffner/_input_package/haffner.pdf,"[ASB Metabolomics — challenge: q_haffner, task: task_003]
TITLE: Filter: minimum-peaks-in-a-row filtering at three thresholds (6, 45, 90) on metabolite feature table

RESEARCH QUESTION: What are the quantitative outcomes of applying sequential occurrence-based filters (6, 45, and 90 minimum peaks-in-a-row) to metabolite features, with gap-filling applied after each filtering step?

OBJECTIVE: Apply three sequential occurrence-based filters (6, 45, 90 minimum peaks-in-a-row per population) to the metabolite feature table with gap-filling after each step, producing occurrence-filtered feature sets at each threshold.

DOMAIN KNOWLEDGE:
- Minimum peaks in a row filtering is a data quality criterion in mass spectrometry metabolomics that ensures features are detected across a specified number of consecutive samples, reducing spurious peaks and noise.
- Gap-filling in MZmine detects peaks that were not algorithmically identified in the initial peak detection by examining the raw chromatographic data, increasing metabolite detection completeness.
- The three sequential thresholds (6, 45, 90) represent increasing stringency levels: 6 is half the smallest population size (~12 samples), 45 is half the total cohort (90 samples), and 90 requires detection in every sample.
- Population-stratified filtering ensures that features validated in the 6-sample workflow are truly present across each study population rather than concentrated in a single group, critical for cross-population metabolomic studies. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: principal-coordinate analysis (PCoA), MZmine v2.33, R programming language

SKILLS NEEDED: metabolite-feature-occurrence-filtering, gap-filling-in-untargeted-metabolomics, mzmine-feature-table-processing, population-stratified-feature-validation, sequential-filtering-workflow-design

EXPECTED OUTPUTS:
- Feature table filtered by 6 minimum peaks in a row with gap-filling applied
- Feature table filtered by 45 minimum peaks in a row with gap-filling applied
- Feature table filtered by 90 minimum peaks in a row with gap-filling applied
- Processed 6-sample filter output with population-level occurrence validation performed in R

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_haffner,task_003,type-checked,metabolite-feature-occurrence-filtering; gap-filling-in-untargeted-metabolomics; mzmine-feature-table-processing; population-stratified-feature-validation; sequential-filtering-workflow-design,principal-coordinate analysis (PCoA); MZmine v2.33; R programming language
[q_haffner] mmvec microbe-metabolite co-occurrence analysis on shared annotated metabolites and ASVs,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_haffner/_input_package/haffner.pdf,"[ASB Metabolomics — challenge: q_haffner, task: task_004]
TITLE: mmvec microbe-metabolite co-occurrence analysis on shared annotated metabolites and ASVs

RESEARCH QUESTION: Which microbial taxa and metabolite features show the strongest predicted co-occurrence patterns when analyzed using the mmvec neural network platform on filtered microbiome and metabolomics data?

OBJECTIVE: Execute mmvec analysis on ASVs (>0.5% relative frequency) and metabolite features to identify and rank microbe-metabolite conditional probability associations among 67 shared annotated metabolites and 27 major predictive taxa.

DOMAIN KNOWLEDGE:
- mmvec uses neural network embeddings to model conditional co-occurrence probabilities between microbial taxa and metabolites, capturing non-linear relationships that differ from correlation-based approaches.
- ASV relative frequency threshold of >0.5% is applied before mmvec to reduce noise from rare taxa while retaining biologically relevant low-abundance members.
- Conditional probability subsetting requires defining thresholds for 'major' predictive taxa; in this work, taxa meeting high conditional probability cutoffs with the 67 shared annotated metabolites were retained (27 total).
- The mmvec output is a rectangular matrix of conditional probabilities P(metabolite | taxon) and P(taxon | metabolite), not correlation or abundance counts, requiring distinct downstream interpretation. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: principal-coordinate analysis (PCoA), mmvec, QIIME2, R programming language

SKILLS NEEDED: microbe-metabolite-association-inference, neural-network-embedding-computation, conditional-probability-matrix-filtering, asv-abundance-threshold-selection, feature-table-integration-across-omics-layers

EXPECTED OUTPUTS:
- Microbe-metabolite conditional probability matrix subset to 67 shared annotated metabolites and 27 major predictive taxa
- CSV table of filtered conditional probabilities for input to PCA

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_haffner,task_004,type-checked,microbe-metabolite-association-inference; neural-network-embedding-computation; conditional-probability-matrix-filtering; asv-abundance-threshold-selection; feature-table-integration-across-omics-layers,principal-coordinate analysis (PCoA); mmvec; QIIME2; R programming language
[q_jeong] Reproduce feature-based molecular networking of fungal biotransformation LC-MS/MS data via GNPS,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_jeong/_input_package/jeong.pdf,"[ASB Metabolomics — challenge: q_jeong, task: task_001]
TITLE: Reproduce feature-based molecular networking of fungal biotransformation LC-MS/MS data via GNPS

RESEARCH QUESTION: What is the molecular network structure produced by feature-based molecular networking on GNPS when applied to LC-MS/MS data from 22 fungal species cultured with 12 plant phenolic compounds, and how does this network enable annotation of enzymatic reactivities?

OBJECTIVE: Reproduce the feature-based molecular networking workflow on GNPS using deposited LC-MS/MS data (MSV000090841) and generate a spectral network annotated with enzymatic reactivity classifications for the 22 fungal species and 12 phytochemicals tested.

DOMAIN KNOWLEDGE:
- Feature-based molecular networking identifies spectral nodes as consensus MS/MS spectra from co-ionizing precursors and connects nodes via cosine similarity >0.6 to reveal structural relationships among detected metabolites.
- GNPS maintains a comprehensive MS/MS reference library enabling automated spectral matching and structural annotation of nodes; unmatched nodes require manual curation or targeted NMR validation.
- Neutral loss filtering via MassQL detects sugar conjugation signatures (pentose = 132.0423 Da, hexose = 162.0528 Da) enabling rapid enzymatic reactivity phenotyping without full structure elucidation.
- Molecular network topology encodes substrate promiscuity and regioselective enzymatic transformations through branched node clusters; multiple disconnected nodes from one precursor indicate multiple product regioisomers. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: GNPS, MassQL, LC-MS/MS

SKILLS NEEDED: molecular-networking-construction, spectral-library-matching-and-annotation, metabolite-neutral-loss-filtering, network-visualization-and-interpretation, enzymatic-reactivity-phenotyping-from-spectral-data, fungal-metabolomics-data-integration

EXPECTED OUTPUTS:
- Feature-based molecular network in graphml format with spectral nodes and cosine similarity edges
- Node attribute table mapping spectral nodes to compound identities, fungal species, and enzymatic reactivities
- Network visualization image showing molecular connections and annotated enzymatic transformations across fungal species

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_jeong,task_001,type-checked,molecular-networking-construction; spectral-library-matching-and-annotation; metabolite-neutral-loss-filtering; network-visualization-and-interpretation; enzymatic-reactivity-phenotyping-from-spectral-data,GNPS; MassQL; LC-MS/MS
[q_jeong] Filter: apply MassQL neutral-loss query to detect pentosylation (132.0423 Da) events in MS/MS spectra,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_jeong/_input_package/jeong.pdf,"[ASB Metabolomics — challenge: q_jeong, task: task_002]
TITLE: Filter: apply MassQL neutral-loss query to detect pentosylation (132.0423 Da) events in MS/MS spectra

RESEARCH QUESTION: Can MassQL efficiently retrieve all pentosylated metabolites from a feature-based molecular network by filtering spectral nodes with a neutral loss of 132.0423 Da?

OBJECTIVE: Execute a MassQL neutral loss query (132.0423 Da) on preprocessed GNPS feature-based molecular network spectral data to produce a filtered hit table of pentosylated metabolite nodes.

DOMAIN KNOWLEDGE:
- Neutral loss of 132.0423 Da corresponds to the loss of a pentose sugar (xylose or arabinose) from a conjugated aglycone in positive-ion MS/MS, enabling rapid detection of O-glycosylated metabolites.
- MassQL is a mass spectrometry query language that enables rapid filtering of spectral libraries by characteristic fragment patterns or neutral losses without manual spectral interpretation.
- The GNPS feature-based molecular network preprocesses raw MS/MS data into aligned spectral nodes with cosine similarity clustering, enabling batch query operations across thousands of spectra.
- Pentosylation (five-carbon sugar conjugation) is distinct from hexosylation (six-carbon sugars like glucose), with hexosylation showing a characteristic neutral loss of 162.0528 Da. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: LC-MS/MS, MassQL, GNPS

SKILLS NEEDED: mass-spectrometry-query-language-formulation, neutral-loss-filtering-for-sugar-conjugates, spectral-feature-table-export, gnps-molecular-network-data-retrieval, pentosylation-signature-annotation

EXPECTED OUTPUTS:
- Filtered hit table containing all spectral nodes with neutral loss of 132.0423 Da (pentosylation), including spectral node IDs, m/z values, retention times, precursor masses, and library matches

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_jeong,task_002,type-checked,mass-spectrometry-query-language-formulation; neutral-loss-filtering-for-sugar-conjugates; spectral-feature-table-export; gnps-molecular-network-data-retrieval; pentosylation-signature-annotation,LC-MS/MS; MassQL; GNPS
"[q_metaboanalyst] Auto-optimized LC-MS1 spectral processing: peak picking, alignment, and gap filling using MetaboAnalystR 4.0",/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_metaboanalyst/_input_package/metaboanalyst.pdf,"[ASB Metabolomics — challenge: q_metaboanalyst, task: task_001]
TITLE: Auto-optimized LC-MS1 spectral processing: peak picking, alignment, and gap filling using MetaboAnalystR 4.0

RESEARCH QUESTION: How many MS1 features are detected by MetaboAnalystR 4.0's auto-optimized LC-MS1 processing pipeline across blood samples analyzed in different ionization modes?

OBJECTIVE: Generate and report the quantitative count of MS1 features (generic and unique) detected by MetaboAnalystR 4.0 across blood samples in each ionization mode.

DOMAIN KNOWLEDGE:
- Auto-optimized parameter selection in MetaboAnalystR 4.0 uses sample-specific characteristics to determine optimal peakwidth, ppm tolerance, and noise thresholds without manual intervention.
- The gap-filling step replaces missing intensity values (features present in some but not all samples) with detected or imputed values to enable downstream statistical analysis on a complete matrix.
- MS1 feature consistency is evaluated by comparing generic features (detected across all blood sample types) versus unique features (sample-type-specific), which may indicate biological variation or instrument sensitivity artifacts.
- C18 and HILIC chromatography modes require different retention-time alignment windows; auto-optimization adjusts these thresholds per mode to maximize feature correspondence. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: MetaboAnalystR 4.0

SKILLS NEEDED: lc-ms-peak-picking-parameter-optimization, chromatographic-peak-alignment-across-cohorts, metabolomics-feature-table-gap-filling, ms1-intensity-normalization-and-quantification, multi-sample-feature-consistency-evaluation

EXPECTED OUTPUTS:
- MS1 feature table with m/z, retention time, and normalized intensity values across all blood samples

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_metaboanalyst,task_001,type-checked,lc-ms-peak-picking-parameter-optimization; chromatographic-peak-alignment-across-cohorts; metabolomics-feature-table-gap-filling; ms1-intensity-normalization-and-quantification; multi-sample-feature-consistency-evaluation,MetaboAnalystR 4.0
[q_metaboanalyst] DDA chimeric spectrum deconvolution using MetaboAnalystR 4.0's penalized elastic-net regression module,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_metaboanalyst/_input_package/metaboanalyst.pdf,"[ASB Metabolomics — challenge: q_metaboanalyst, task: task_002]
TITLE: DDA chimeric spectrum deconvolution using MetaboAnalystR 4.0's penalized elastic-net regression module

RESEARCH QUESTION: Does applying MetaboAnalystR 4.0's PerformDDADeconvolution function to DDA MS2 spectra from complex standards mixture data improve spectral matching scores compared to non-deconvolved spectra?

OBJECTIVE: Implement and validate the PerformDDADeconvolution function on MTBLS2207 DDA spectra and quantify the statistical improvement in matching scores between deconvolved and non-deconvolved results.

DOMAIN KNOWLEDGE:
- DDA (data-dependent acquisition) MS2 spectra often contain chimeric ions from multiple precursors co-isolated in the same m/z window; deconvolution aims to decompose these mixed signals into individual component spectra to improve spectral matching accuracy.
- Clean vs. chimeric spectrum classification is based on MS1 scan signals: spectra are evaluated against reference ions (A, B, C) within the isolation window and above intensity threshold to determine if multiple precursors are present.
- Regression analysis in the deconvolution context fits multiple reference spectra as linear combinations of observed signal intensities to separate overlapping spectral components.
- MS2 reference library sources (HMDB, MassBank, METLIN) vary in instrument types and ionization conditions, which can affect matching score distributions and statistical power to detect deconvolution benefits. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: MetaboAnalystR 4.0, HMDB

SKILLS NEEDED: spectral-deconvolution-dda-ms2, ms2-reference-library-matching, chimeric-spectra-classification, regression-analysis-spectral-decomposition, statistical-significance-testing-metabolomics

EXPECTED OUTPUTS:
- Table of spectral matching scores comparing deconvolved and non-deconvolved MS2 spectra with statistical significance test results
- Visualization comparing matching score distributions (box plot or violin plot) for deconvolved vs. non-deconvolved spectra

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_metaboanalyst,task_002,type-checked,spectral-deconvolution-dda-ms2; ms2-reference-library-matching; chimeric-spectra-classification; regression-analysis-spectral-decomposition; statistical-significance-testing-metabolomics,MetaboAnalystR 4.0; HMDB
[q_metaboanalyst] MS2 reference library SQLite database construction and compound identification via PerformDBSearchingBatch,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_metaboanalyst/_input_package/metaboanalyst.pdf,"[ASB Metabolomics — challenge: q_metaboanalyst, task: task_003]
TITLE: MS2 reference library SQLite database construction and compound identification via PerformDBSearchingBatch

RESEARCH QUESTION: What is the compound identification rate achieved by MetaboAnalystR 4.0 when performing MS2 database searching on deconvolved spectra from the MTBLS1311 standards mixture dataset?

OBJECTIVE: Curate nine public MS2 databases into a unified SQLite schema and execute batch MS2 database searching on MTBLS1311 deconvolved spectra to reproduce the compound identification percentage reported in Figure 4b.

DOMAIN KNOWLEDGE:
- MS2 spectral libraries from different instruments and experimental conditions exhibit variable quality due to differences in ionization efficiency, fragmentation patterns, and collision energy settings; the Complete library schema must normalize these variations.
- DDA deconvolution requires classification of spectra as 'clean' (single precursor) or 'chimeric' (multiple precursors) before database searching to avoid ambiguous fragment assignments.
- Spectral similarity metrics (e.g., cosine similarity) are sensitive to noise, peak intensity normalization, and m/z alignment tolerance; threshold selection directly impacts identification sensitivity and specificity.
- The MTBLS1311 dataset contains medium-complexity standards with known compound identities, making it suitable for validation of identification accuracy and reproducibility of reported benchmarks. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: MetaboAnalystR 4.0

SKILLS NEEDED: spectral-library-curation-and-standardization, dda-spectra-deconvolution, spectral-similarity-searching-and-matching, database-schema-design-and-sqlite-implementation, compound-identification-benchmark-evaluation

EXPECTED OUTPUTS:
- SQLite Complete library containing curated and standardized MS2 reference spectra from nine databases
- Compound identification results table with percentage of identified features matching Figure 4b

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_metaboanalyst,task_003,type-checked,spectral-library-curation-and-standardization; dda-spectra-deconvolution; spectral-similarity-searching-and-matching; database-schema-design-and-sqlite-implementation; compound-identification-benchmark-evaluation,MetaboAnalystR 4.0
[q_metabolites11] Reproduce LC-HRMS metabolite annotation and filtering pipeline for P. aeruginosa CF isolates,/Users/nothiasl/git/asb_benchmark_metabolomics_v1/q_metabolites11/_input_package/metabolites11.pdf,"[ASB Metabolomics — challenge: q_metabolites11, task: task_001]
TITLE: Reproduce LC-HRMS metabolite annotation and filtering pipeline for P. aeruginosa CF isolates

RESEARCH QUESTION: What are the quantitative quality-control thresholds and filtering criteria required to process raw LC-HRMS data and obtain a reproducible set of annotated metabolites?

OBJECTIVE: Apply three sequential LC-HRMS quality-control filters (correlation >0.7, blank-to-sample <0.33, QC variation <30%) to MassIVE raw data and reproduce the 271-metabolite annotated dataset.

DOMAIN KNOWLEDGE:
- LC-HRMS quality control requires filtering on three independent metrics: correlation between dilution series and peak intensity (>0.7), blank-to-sample contamination ratio (<0.33), and intra-QC reproducibility via coefficient of variation (<30%) to ensure features are genuine and reproducible.
- Dual chromatographic separation (C18 reversed-phase for hydrophobic metabolites and HILIC for polar metabolites) provides complementary chemical space coverage; features must be detected separately per method and annotation confidence depends on orthogonal criteria (accurate mass, retention time, MS/MS fragmentation pattern).
- Putative annotation of metabolites using accurate mass alone is lower-confidence than identity confirmed by MS/MS matching to authenticated standards under identical conditions; the study reports 30 metabolites with full identification (mass + RT + MS/MS + standard), 3 with MS/MS only, 20 with mass + RT only, and 17 with mass alone.
- ProteoWizard's MSConvert centroid mode reduces raw profile-mode spectra to centroid peaks; the 0.01 step size and 10 ppm m/z tolerance are critical to avoid peak merging and false negatives in complex mixtures typical of bacterial metabolomes. (+ 1 more)

REQUIRED TOOLS/LIBRARIES: Liquid Chromatography coupled with High Resolution Mass Spectrometry (LC/HRMS), ProteoWizard (release 3.0.9393), XCMS package (version 3.0.2), centWave algorithm (XCMS), CAMERA package, R software version 3.3.2

SKILLS NEEDED: lc-hrms-raw-data-conversion-and-preprocessing, chromatographic-peak-detection-and-centroiding, spectral-adduct-isotope-annotation, metabolite-feature-quality-filtering-and-thresholding, spectral-library-matching-and-metabolite-annotation, untargeted-metabolomics-data-normalization

EXPECTED OUTPUTS:
- Feature intensity table after XCMS peak detection and CAMERA annotation (pre-filtering)
- Filtered feature table retaining only features passing all three quality-control criteria (correlation >0.7, blank-to-sample ratio <0.33, QC CV <30%)
- Annotated metabolite table with 271 putatively identified metabolites, including accurate mass, retention time, database match, and annotation confidence level
- PQN-normalized peak intensity matrix (271 metabolites × 198 samples) ready for downstream statistical analysis

Use Perspicacité to retrieve relevant scientific context before writing code. Ground your methodology in the literature. Save all outputs to the workspace under a clearly named subfolder.",q_metabolites11,task_001,type-checked,lc-hrms-raw-data-conversion-and-preprocessing; chromatographic-peak-detection-and-centroiding; spectral-adduct-isotope-annotation; metabolite-feature-quality-filtering-and-thresholding; spectral-library-matching-and-metabolite-annotation,Liquid Chromatography coupled with High Resolution Mass Spectrometry (LC/HRMS); ProteoWizard (release 3.0.9393); XCMS package (version 3.0.2); centWave algorithm (XCMS); CAMERA package
