Title,Subject,URLS,Reason,Paywalled,Notes
Designing an ASR Corpus for the Albanian Language,(B/T) Data Science;(SOC) Linguistics;,,Error by Journal/Publisher;,No,
Machine Learning Analysis of Oxidative Stress-Related Phenotypes for Specific Gene Screening in Ovarian Cancer,(B/T) Data Science;(BLS) Biology - Cancer;(BLS) Genetics;,,Concerns/Issues About Authorship/Affiliation;Investigation by Journal/Publisher;,No,
Hybrid CNN-LSTM model with efficient hyperparameter tuning for prediction of Parkinson's disease,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Neurology;,,Error in Text;Updated to Retraction;,No,See also: https://pubpeer.com/publications/BE2E334302A3B028B84D49A35C44B1
Hybrid wavelet/Elman NN model for short term cost prediction utilizing developed deer hunting optimizer,(B/T) Business - Economics;(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/?s=Heliyon,Author Unresponsive;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;,No,
Simulation model of energy exchange in an intelligent decision-making system based on a multi-agent neurocognitive architecture,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Search query as a methodological indicator of new pedagogical conceptualizations (on the example of hip-pedagogy),(B/T) Computer Science;(B/T) Data Science;(SOC) Education;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Intelligenсe architectonics methodology: international language training of students,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Education;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Intelligent methods for impartial and objective evaluation of a course project,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Education;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Emotion recognition and classification based on audio data using AI,(B/T) Data Science;(SOC) Psychology;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Clustering Z-information based on a system of fuzzy reference requirements,(B/T) Data Science;(PHY) Mathematics;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Algorithm and software tools for optimizing the preparation of routes on high-speed lines based on RFID technology,(B/T) Computer Science;(B/T) Data Science;(B/T) Government;(B/T) Technology;(B/T) Transportation;(B/T) Urban Planning;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
A mathematical model of the operation process of a radio communication network based on IP technologies in the conditions of information impact during the transmission of a non-repetitive data stream,(B/T) Computer Science;(B/T) Data Science;(PHY) Mathematics;(SOC) Communications;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
The role of clustering algorithm-based big data processing in information economy development,(B/T) Business - Economics;(B/T) Computer Science;(B/T) Data Science;,,Concerns/Issues about Results and/or Conclusions;Concerns/Issues with Peer Review;,No,
Efficient lung cancer detection using computational intelligence and ensemble learning,(B/T) Data Science;(HSC) Medicine - Oncology;(HSC) Medicine - Pulmonology;,,Cites Retracted Work;Objections by Author(s);,No,
Analysis of logistics port transportation efficiency evaluation based on the block chain technology,(B/T) Business - General;(B/T) Data Science;(B/T) Technology;(B/T) Transportation;(PHY) Mathematics;,https://retractionwatch.com/2024/07/01/we-authors-paid-a-heavy-price-journal-retracts-all-23-articles-in-special-issue/,Error in Text;Updated to Retraction;,No,
