agent_budget,effective_boldness,evolution_kind,for_iteration,from_uuid,goal_id,parent_score,parent_uuids,scope_band,stagnation,success_rate,timestamp
,,seed,1,20260613_165929_4a2182de,09902ec3,,,,,,2026-06-13T16:02:59.754671
,,crossover,2,20260613_180259_126f2d0b,09902ec3,,20260613_165929_4a2182de;20260613_180259_126f2d0b,,,,2026-06-13T16:24:18.254142
,,crossover,3,20260613_182418_8904a856,09902ec3,,20260613_182418_8904a856;20260613_180259_126f2d0b,,,,2026-06-13T16:54:59.318293
,,crossover,4,20260613_185459_e28cc181,09902ec3,,20260613_165929_4a2182de;20260613_185459_e28cc181,,,,2026-06-13T17:46:56.859684
5,0.6352788247168063,mutation,5,20260613_194656_deae850d,09902ec3,0.5349,20260613_185459_e28cc181,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.6930314451456068,0.25,2026-06-13T18:01:05.217787
5,0.6352788247168063,crossover,6,generation_failed,86ebf398,0.5349,20260613_182418_8904a856;20260613_194656_deae850d,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.6930314451456068,0.25,2026-06-13T18:02:47.050638
7,0.7512767910957335,mutation,7,20260613_200247_0ad6d32c,09902ec3,0.5705,20260613_200247_0ad6d32c,"EXPLORATION (Macro Structural Mutation):
- Objective: Break out of a severe local minimum or chronic structural failure.
- Scope: Mutate the graph topology. Add a new specialized agent, merge two redundant agents, or change the routing logic.
- Invariance: Keep the fundamental task goal, but completely change the operational workflow.
- Strategy: Restructure the cognitive pipeline. Introduce parallel processing, voting consensus, or multi-step validation loops.",0.7512767910957335,0.2,2026-06-13T18:17:16.518955
7,1.0,mutation,8,20260613_201716_f1f2ffa6,09902ec3,0.5635,20260613_201716_f1f2ffa6,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7731565237045287,0.0,2026-06-13T18:37:57.457994
7,1.0,crossover,9,generation_failed,86ebf398,0.5635,20260613_200247_0ad6d32c;20260613_194656_deae850d,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7731565237045287,0.0,2026-06-13T18:44:31.042258
7,1.0,mutation,10,20260613_204431_50814a84,09902ec3,0.5705,20260613_204431_50814a84,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7719784379005431,0.0,2026-06-13T18:51:29.515763
